ORIGINAL,REPLACEMENT
achieved,achieve
actuators,actuator
adequately,adequate
and, 
aggregated,aggregate
al//2o//3,alumina
al2o3,alumina
aligned,align
alloys,alloy
anisotropic,anisotropy
algorithms,algorithm
applications,application
assumed,assume
atomic force microscopy,afm
batteries,battery
batteries,battery
biocompatibility,biocompatible
bn,boron-nitride
bodies,body
boron nitride,boron-nitride
boundaries,boundary    
calcined,calcination
calculations,calculation
calculations,calculation
capacitors,capacitor
catalysts,catalyst
cathodes,cathode
ceramics,ceramic
certainly,certain
characterised,characterisation
circuits,circuit
clusters,cluster
cnts,cnt
coatings,coating
composites,composite
compositions,composition
compounds,compound
conducting,conduction
conductive,conduction
confocal microscopy,confocal_microscopy
cracked,crack
cracks,crack
criterion,criteria
crystallites,crystallite
defects,defect
densities,density
deposited,deposit
deposits,deposit
diagrams,diagram
disordered,disorder
dopant,doping
doped,doping
efficiencies,efficient
efficiently,efficient
electrical,electric
electrolytes,electrolyte
enhanced,enhance
enhancing,enhance
exchangers,exchanger
experimentally,experimental
factors,factor    
failed,fail    
failure,fail
ferrites,ferrite
fibers,fibre
films,film
filters,filter
foams,foam
formulations,formulation
fractures,fracture
ft-ir,ftir
gases,gas
gel casting,gel-casting
gels,gel
glass-ceramics,glass-ceramic
glasses,glass
gradients,gradient
grains,grain
hot-pressed,hot-pressing
hydroxyapatite,hap
implants,implant
improved,improve
improvements,improve
improves,improve
improving,improve
improving,improve
impurities,impurity
inclusions,inclusion
increased,increase
increases,increase
increasing,increase
industries,industry
insulators,insulator
interfaces,interface
lasers,laser
layers,layer
markedly,marked
materials,material
mechanisms,mechanism
membranes,membrane
metal/ceramic,metal-ceramic
mgo,magnesia
models,model
nano-,nano
nano-,nano
nano-particle,nanoparticle
nano-particles,nanoparticle
nano-porous,nanopore
nano-porous,nanopore
nano-regions,nanoregions
nano-size,nanosize
nano-sized,nanosized
nanosized,nanosize
nanotubes,nanotube
obviously,obvious
optimization,optimize
optimized,optimize
optimizing,optimize
particles,particle
performances,performance
phases,phase
phenomenon,phenomena
platelets,platelet
plates,plate
pores,pore
porosity,pore
powders,powder
predicted,predict
predictions,predict
problems,problem
properties,property
processes,process
proton,protonic
refractories,refractory
remarkably,remarkable
resonators,resonator
reviewed,review
sensors,sensor
scanning electron microscopy,sem
si//3n//4,si3n4
si3n4,silicon-nitride
sic,silicon-carbide
significance,significant
significantly,significant
silicon carbide,silicon-carbide
sintered,sinter
sintering,sinter
sio2,silica
sofcs,sofc
solids,solid
solved,solve
states,state
strengths,strength
stresses,stress
structures,structure
substantially,substantial
substrates,substrate
successfully,successfull
superconducting,superconductivity
superconductor,superconductivity
superconductors,superconductivity
superplasticity,superplastic    
surfaces,surface
systems,system
tape casting,tape-casting
thermal conductivity,thermal-conductivity
tests,test
tio2,titania
toughening,toughness
transducers,transducer
transmission electron microscopy,tem
transparent,transparency
tunability,tunable
validated,validate
varistors,varistor
x-ray,xrd
zro2,zirconia